Date,Sales
2022-01-01,131
2022-01-02,144
2022-01-03,123
2022-01-04,109
2022-01-05,105
2022-01-06,102
2022-01-07,123
2022-01-08,145
2022-01-09,131
2022-01-10,120
2022-01-11,113
2022-01-12,117
2022-01-13,105
2022-01-14,105
2022-01-15,148
2022-01-16,145
2022-01-17,98
2022-01-18,102
2022-01-19,118
2022-01-20,97
2022-01-21,116
2022-01-22,145
2022-01-23,126
2022-01-24,118
2022-01-25,106
2022-01-26,124
2022-01-27,100
2022-01-28,96
2022-01-29,152
2022-01-30,145
2022-01-31,95
2022-02-01,113
2022-02-02,127
2022-02-03,123
2022-02-04,130
2022-02-05,143
2022-02-06,156
2022-02-07,118
2022-02-08,128
2022-02-09,128
2022-02-10,111
2022-02-11,129
2022-02-12,159
2022-02-13,147
2022-02-14,116
2022-02-15,131
2022-02-16,131
2022-02-17,116
2022-02-18,131
2022-02-19,150
2022-02-20,143
2022-02-21,124
2022-02-22,121
2022-02-23,126
2022-02-24,104
2022-02-25,106
2022-02-26,150
2022-02-27,138
2022-02-28,122
2022-03-01,113
2022-03-02,111
2022-03-03,122
2022-03-04,108
2022-03-05,159
2022-03-06,162
2022-03-07,118
2022-03-08,122
2022-03-09,130
2022-03-10,113
2022-03-11,130
2022-03-12,155
2022-03-13,136
2022-03-14,124
2022-03-15,132
2022-03-16,119
2022-03-17,132
2022-03-18,111
2022-03-19,146
2022-03-20,163
2022-03-21,112
2022-03-22,119
2022-03-23,107
2022-03-24,118
2022-03-25,121
2022-03-26,138
2022-03-27,152
2022-03-28,112
2022-03-29,108
2022-03-30,106
2022-03-31,134
2022-04-01,107
2022-04-02,153
2022-04-03,141
2022-04-04,105
2022-04-05,123
2022-04-06,130
2022-04-07,119
2022-04-08,127
2022-04-09,143
2022-04-10,133
2022-04-11,111
2022-04-12,131
2022-04-13,105
2022-04-14,115
2022-04-15,117
2022-04-16,146
2022-04-17,139
2022-04-18,115
2022-04-19,124
2022-04-20,129
2022-04-21,126
2022-04-22,131
2022-04-23,139
2022-04-24,152
2022-04-25,117
2022-04-26,114
2022-04-27,119
2022-04-28,116
2022-04-29,122
2022-04-30,155
2022-05-01,150
2022-05-02,119
2022-05-03,122
2022-05-04,122
2022-05-05,122
2022-05-06,107
2022-05-07,133
2022-05-08,153
2022-05-09,109
2022-05-10,107
2022-05-11,95
2022-05-12,119
2022-05-13,101
2022-05-14,133
2022-05-15,148
2022-05-16,95
2022-05-17,106
2022-05-18,102
2022-05-19,118
2022-05-20,105
2022-05-21,143
2022-05-22,141
2022-05-23,102
2022-05-24,97
2022-05-25,97
2022-05-26,95
2022-05-27,121
2022-05-28,129
2022-05-29,134
2022-05-30,101
2022-05-31,120
2022-06-01,93
2022-06-02,112
2022-06-03,91
2022-06-04,123
2022-06-05,122
2022-06-06,96
2022-06-07,86
2022-06-08,85
2022-06-09,100
2022-06-10,107
2022-06-11,137
2022-06-12,144
2022-06-13,108
2022-06-14,89
2022-06-15,87
2022-06-16,96
2022-06-17,92
2022-06-18,136
2022-06-19,141
2022-06-20,87
2022-06-21,85
2022-06-22,87
2022-06-23,89
2022-06-24,99
2022-06-25,128
2022-06-26,117
2022-06-27,85
2022-06-28,89
2022-06-29,110
2022-06-30,107
2022-07-01,88
2022-07-02,111
2022-07-03,131
2022-07-04,83
2022-07-05,89
2022-07-06,89
2022-07-07,100
2022-07-08,84
2022-07-09,132
2022-07-10,117
2022-07-11,93
2022-07-12,81
2022-07-13,91
2022-07-14,94
2022-07-15,103
2022-07-16,108
2022-07-17,134
2022-07-18,79
2022-07-19,97
2022-07-20,81
2022-07-21,87
2022-07-22,89
2022-07-23,115
2022-07-24,133
2022-07-25,78
2022-07-26,87
2022-07-27,81
2022-07-28,101
2022-07-29,93
2022-07-30,126
2022-07-31,132
2022-08-01,68
2022-08-02,76
2022-08-03,79
2022-08-04,96
2022-08-05,91
2022-08-06,117
2022-08-07,102
2022-08-08,94
2022-08-09,94
2022-08-10,78
2022-08-11,78
